;gaugeId;issue_date;issue_time;fc_date;fc_value
194;hybas_1120661040;2024-11-16;2024-11-16 14:02:47.986958+00:00;2024-11-17;0.7254839539527893
195;hybas_1120661040;2024-11-16;2024-11-16 14:02:47.986958+00:00;2024-11-18;0.7017356753349304
196;hybas_1120661040;2024-11-16;2024-11-16 14:02:47.986958+00:00;2024-11-19;0.6812108159065247
197;hybas_1120661040;2024-11-16;2024-11-16 14:02:47.986958+00:00;2024-11-20;0.6203452944755554
198;hybas_1120661040;2024-11-16;2024-11-16 14:02:47.986958+00:00;2024-11-21;0.5993106365203857
199;hybas_1120661040;2024-11-16;2024-11-16 14:02:47.986958+00:00;2024-11-22;0.5341370105743408
200;hybas_1120661040;2024-11-17;2024-11-17 13:51:15.123894+00:00;2024-11-16;0.7732564806938171
201;hybas_1120661040;2024-11-17;2024-11-17 13:51:15.123894+00:00;2024-11-17;0.7575647830963135
202;hybas_1120661040;2024-11-17;2024-11-17 13:51:15.123894+00:00;2024-11-18;0.6904441118240356
203;hybas_1120661040;2024-11-17;2024-11-17 13:51:15.123894+00:00;2024-11-19;0.6622612476348877
204;hybas_1120661040;2024-11-17;2024-11-17 13:51:15.123894+00:00;2024-11-20;0.6463280916213989
205;hybas_1120661040;2024-11-17;2024-11-17 13:51:15.123894+00:00;2024-11-21;0.5639373660087585
206;hybas_1120661040;2024-11-17;2024-11-17 13:51:15.123894+00:00;2024-11-22;0.5260880589485168
207;hybas_1120661040;2024-11-17;2024-11-17 13:51:15.123894+00:00;2024-11-23;0.4945092797279358
208;hybas_1120661040;2024-11-18;2024-11-18 11:09:48.199761+00:00;2024-11-17;0.751819372177124
209;hybas_1120661040;2024-11-18;2024-11-18 11:09:48.199761+00:00;2024-11-18;0.718795657157898
210;hybas_1120661040;2024-11-18;2024-11-18 11:09:48.199761+00:00;2024-11-19;0.6554349660873413
211;hybas_1120661040;2024-11-18;2024-11-18 11:09:48.199761+00:00;2024-11-20;0.5716030597686768
212;hybas_1120661040;2024-11-18;2024-11-18 11:09:48.199761+00:00;2024-11-21;0.5865243077278137
