,flood_start,flood_end,Cercle,duration
510,2010-08-01,2010-08-01,GAO,1
511,2010-08-01,2010-08-01,KOUTIALA,1
512,2010-08-01,2010-08-01,TESSALIT,1
513,2010-08-01,2010-08-01,TOMBOUCTO,1
514,2010-08-01,2010-08-01,NIONO,1
515,2010-08-01,2010-08-01,DISTRICT,1
516,2010-07-27,2010-07-27,KATI,1
517,2010-07-23,2010-07-23,DIOILA,1
518,2010-07-23,2010-07-23,BARAOUELI,1
519,2010-07-23,2010-07-23,SEGOU,1
520,2010-07-23,2010-07-23,BARAOUELI,1
521,2010-07-22,2010-07-22,GOURMA-RH,1
522,2010-07-22,2010-07-22,DOUENTZA,1
523,2010-07-21,2010-07-21,TOMBOUCTO,1
524,2010-07-20,2010-07-20,GAO,1
525,2010-07-19,2010-07-19,DIOILA,1
526,2010-07-19,2010-07-19,DIOILA,1
527,2010-07-16,2010-07-16,TESSALIT,1
528,2010-07-12,2010-07-12,TOMBOUCTO,1
529,2010-07-11,2010-07-11,TOMBOUCTO,1
530,2010-07-11,2010-07-11,SEGOU,1
531,2010-07-11,2010-07-11,SEGOU,1
532,2010-07-11,2010-07-11,SEGOU,1
533,2010-07-11,2010-07-11,SEGOU,1
534,2010-07-09,2010-07-09,DIOILA,1
535,2010-07-08,2010-07-08,BARAOUELI,1
536,2010-07-02,2010-07-02,GOURMA-RH,1
537,2010-07-02,2010-07-02,BANAMBA,1
538,2010-07-01,2010-07-01,BANAMBA,1
539,2010-06-27,2010-06-27,SEGOU,1
540,2010-06-27,2010-06-27,SEGOU,1
541,2010-06-25,2010-06-25,MACINA,1
542,2010-06-24,2010-06-24,YANFOLILA,1
543,2010-06-14,2010-06-14,GAO,1
544,2010-06-10,2010-06-10,BAFOULABE,1
545,2010-06-10,2010-06-10,SAN,1
546,2010-06-09,2010-06-09,DOUENTZA,1
547,2010-06-09,2010-06-09,MOPTI,1
548,2010-06-01,2010-06-01,TENENKOU,1
549,2010-05-17,2010-05-17,KOULIKORO,1
550,2010-05-08,2010-05-08,KOLOKANI,1
551,2010-05-08,2010-05-08,BAFOULABE,1
552,2010-05-07,2010-05-07,KOLOKANI,1
553,2010-05-07,2010-05-07,KOLOKANI,1
554,2010-05-07,2010-05-07,DIOILA,1
555,2010-04-19,2010-04-19,SIKASSO,1
556,2010-04-04,2010-04-04,KAYES,1
557,2009-10-31,2009-10-31,DJENNE,1
558,2009-10-25,2009-10-25,TOMBOUCTO,1
559,2009-09-20,2009-09-20,TOMINIAN,1
560,2009-09-18,2009-09-18,MACINA,1
561,2009-09-18,2009-09-18,KOULIKORO,1
562,2009-09-18,2009-09-18,KATI,1
563,2009-09-13,2009-09-13,MACINA,1
564,2009-09-13,2009-09-13,NIONO,1
565,2009-09-13,2009-09-13,TOMINIAN,1
566,2009-09-12,2009-09-12,TOMINIAN,1
567,2009-09-08,2009-09-08,SEGOU,1
568,2009-09-08,2009-09-08,SEGOU,1
569,2009-09-08,2009-09-08,SEGOU,1
571,2009-09-07,2009-09-07,BLA,1
572,2009-09-07,2009-09-07,SEGOU,1
573,2009-09-07,2009-09-07,NIONO,1
574,2009-09-07,2009-09-07,BLA,1
575,2009-09-07,2009-09-07,SEGOU,1
576,2009-09-07,2009-09-07,BLA,1
577,2009-09-07,2009-09-07,BLA,1
578,2009-09-07,2009-09-07,BLA,1
579,2009-09-05,2009-09-05,KAYES,1
580,2009-09-05,2009-09-05,KITA,1
581,2009-09-05,2009-09-05,KITA,1
582,2009-09-05,2009-09-05,BAFOULABE,1
583,2009-09-04,2009-09-04,KITA,1
584,2009-09-03,2009-09-03,MACINA,1
585,2009-09-02,2009-09-02,KOULIKORO,1
586,2009-09-02,2009-09-02,KOULIKORO,1
587,2009-09-02,2009-09-02,BANAMBA,1
588,2009-09-02,2009-09-02,DISTRICT,1
589,2009-09-02,2009-09-02,KOULIKORO,1
590,2009-09-02,2009-09-02,BANAMBA,1
591,2009-09-02,2009-09-02,KANGABA,1
592,2009-09-02,2009-09-02,GAO,1
593,2009-09-02,2009-09-02,KOULIKORO,1
594,2009-09-02,2009-09-02,KOLOKANI,1
595,2009-09-01,2009-09-01,DOUENTZA,1
596,2009-09-01,2009-09-01,MOPTI,1
597,2009-09-01,2009-09-01,TOMINIAN,1
598,2009-09-01,2009-09-01,SAN,1
599,2009-08-31,2009-08-31,NIONO,1
600,2009-08-30,2009-08-30,NIONO,1
601,2009-08-30,2009-08-30,NIONO,1
602,2009-08-27,2009-08-27,NIORO,1
603,2009-08-27,2009-08-27,NIORO,1
604,2009-08-26,2009-08-26,GOURMA-RH,1
605,2009-08-25,2009-08-25,NIORO,1
606,2009-08-25,2009-08-25,TOMBOUCTO,1
607,2009-08-25,2009-08-25,NIAFUNKE,1
608,2009-08-24,2009-08-24,SIKASSO,1
609,2009-08-24,2009-08-24,YANFOLILA,1
610,2009-08-21,2009-08-21,KOUTIALA,1
611,2009-08-15,2009-08-15,SEGOU,1
612,2009-08-15,2009-08-15,NIORO,1
613,2009-08-12,2009-08-12,KOULIKORO,1
614,2009-08-07,2009-08-07,KITA,1
615,2009-08-06,2009-08-06,DOUENTZA,1
616,2009-08-05,2009-08-05,BOUREM,1
617,2009-07-29,2009-07-29,SEGOU,1
618,2009-07-27,2009-07-27,DJENNE,1
619,2009-07-25,2009-07-25,BLA,1
620,2009-06-18,2009-06-18,SIKASSO,1
621,2009-06-11,2009-06-11,KITA,1
622,2009-06-11,2009-06-11,KITA,1
623,2009-06-08,2009-06-08,KITA,1
624,2009-06-04,2009-06-04,ANSONGO,1
625,2009-05-23,2009-05-23,KITA,1
626,2009-05-16,2009-05-16,KITA,1
